Freq.	V(vout)
Step Information: Rc=100  (Run: 1/18)
3.97236998174817e+001	(-1.19121695036485e+001dB,-1.78492225425133e+002°)
4.00000000000003e+001	(-1.19121293473558e+001dB,-1.78502636085289e+002°)
4.02782220022691e+001	(-1.19120897435438e+001dB,-1.78512974928951e+002°)
4.05583791916015e+001	(-1.19120506846155e+001dB,-1.78523242450240e+002°)
4.08404850282880e+001	(-1.19120121630789e+001dB,-1.78533439139988e+002°)
4.11245530662430e+001	(-1.19119741715449e+001dB,-1.78543565485613e+002°)
4.14105969536554e+001	(-1.19119367027265e+001dB,-1.78553621971203e+002°)
4.16986304336452e+001	(-1.19118997494361e+001dB,-1.78563609077547e+002°)
4.19886673449230e+001	(-1.19118633045846e+001dB,-1.78573527282232e+002°)
4.22807216224556e+001	(-1.19118273611806e+001dB,-1.78583377059505e+002°)
4.25748072981347e+001	(-1.19117919123290e+001dB,-1.78593158880305e+002°)
4.28709385014521e+001	(-1.19117569512288e+001dB,-1.78602873212461e+002°)
4.31691294601774e+001	(-1.19117224711731e+001dB,-1.78612520520618e+002°)
4.34693945010427e+001	(-1.19116884655460e+001dB,-1.78622101266159e+002°)
4.37717480504299e+001	(-1.19116549278241e+001dB,-1.78631615907342e+002°)
4.40762046350648e+001	(-1.19116218515725e+001dB,-1.78641064899268e+002°)
4.43827788827142e+001	(-1.19115892304448e+001dB,-1.78650448694018e+002°)
4.46914855228892e+001	(-1.19115570581818e+001dB,-1.78659767740501e+002°)
4.50023393875528e+001	(-1.19115253286107e+001dB,-1.78669022484531e+002°)
4.53153554118324e+001	(-1.19114940356428e+001dB,-1.78678213368944e+002°)
4.56305486347374e+001	(-1.19114631732741e+001dB,-1.78687340833512e+002°)
4.59479341998818e+001	(-1.19114327355816e+001dB,-1.78696405315044e+002°)
4.62675273562119e+001	(-1.19114027167248e+001dB,-1.78705407247230e+002°)
4.65893434587387e+001	(-1.19113731109439e+001dB,-1.78714347060922e+002°)
4.69133979692756e+001	(-1.19113439125569e+001dB,-1.78723225183934e+002°)
4.72397064571817e+001	(-1.19113151159605e+001dB,-1.78732042041291e+002°)
4.75682846001093e+001	(-1.19112867156280e+001dB,-1.78740798054892e+002°)
4.78991481847576e+001	(-1.19112587061097e+001dB,-1.78749493643923e+002°)
4.82323131076309e+001	(-1.19112310820302e+001dB,-1.78758129224628e+002°)
4.85677953758023e+001	(-1.19112038380870e+001dB,-1.78766705210363e+002°)
4.89056111076832e+001	(-1.19111769690522e+001dB,-1.78775222011786e+002°)
4.92457765337971e+001	(-1.19111504697686e+001dB,-1.78783680036595e+002°)
4.95883079975600e+001	(-1.19111243351502e+001dB,-1.78792079689768e+002°)
4.99332219560650e+001	(-1.19110985601805e+001dB,-1.78800421373499e+002°)
5.02805349808736e+001	(-1.19110731399132e+001dB,-1.78808705487196e+002°)
5.06302637588117e+001	(-1.19110480694680e+001dB,-1.78816932427579e+002°)
5.09824250927710e+001	(-1.19110233440336e+001dB,-1.78825102588557e+002°)
5.13370359025167e+001	(-1.19109989588638e+001dB,-1.78833216361488e+002°)
5.16941132255002e+001	(-1.19109749092782e+001dB,-1.78841274134871e+002°)
5.20536742176779e+001	(-1.19109511906594e+001dB,-1.78849276294710e+002°)
5.24157361543351e+001	(-1.19109277984553e+001dB,-1.78857223224208e+002°)
5.27803164309163e+001	(-1.19109047281748e+001dB,-1.78865115304086e+002°)
5.31474325638610e+001	(-1.19108819753902e+001dB,-1.78872952912301e+002°)
5.35171021914451e+001	(-1.19108595357333e+001dB,-1.78880736424343e+002°)
5.38893430746282e+001	(-1.19108374048956e+001dB,-1.78888466213051e+002°)
5.42641730979075e+001	(-1.19108155786301e+001dB,-1.78896142648774e+002°)
5.46416102701764e+001	(-1.19107940527456e+001dB,-1.78903766099229e+002°)
